Well,Omit,sample_id_old,Target,Dye,Task,Cq,Quantity,plate_id,study,template_vol,elution_vol,,,,,,,,,,,
G4,FALSE,control_manifB_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
G5,FALSE,control_manifB_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
G6,FALSE,control_manifB_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
G10,FALSE,bf_manifold_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
G11,FALSE,bf_manifold_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
G12,FALSE,bf_manifold_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
H10,FALSE,bf_filter_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
H11,FALSE,bf_filter_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
H12,FALSE,bf_filter_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
A1,FALSE,NTC,MAC,SYBR,Negative Control,Undetermined,,MAC_samples_1,,1,100,,,,,,,,,,,
A2,FALSE,NTC,MAC,SYBR,Negative Control,Undetermined,,MAC_samples_1,,1,100,,,,,,,,,,,
A3,FALSE,NTC,MAC,SYBR,Negative Control,Undetermined,,MAC_samples_1,,1,100,,,,,,,,,,,
A4,FALSE,AR_1_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A5,FALSE,AR_1_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A6,FALSE,AR_1_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A7,FALSE,bf_1_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A8,FALSE,bf_1_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A9,FALSE,bf_1_40,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A10,FALSE,bf_1_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A11,FALSE,bf_1_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A12,FALSE,bf_1_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B1,FALSE,5,MAC,SYBR,Standard,35.23416234,5,MAC_samples_1,,1,100,,,,,,,,,,,
B2,FALSE,5,MAC,SYBR,Standard,35.45408408,5,MAC_samples_1,,1,100,,,,,,,,,,,
B3,FALSE,5,MAC,SYBR,Standard,Undetermined,5,MAC_samples_1,,1,100,,,,,,,,,,,
B4,FALSE,AR_2_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
B5,FALSE,AR_2_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
