file_name,AR,date,control_or_sample,replicate,micr_replicate,,,,,,,,,,,,,,,,,
121520_slidecontrol_syto_sypro_conA_1.czi,control,121520,discard,A,1,,,,,,,,,,,,,,,,,
121520_slidecontrol_syto_sypro_conA_2.czi,control,121520,discard,A,2,,,,,,,,,,,,,,,,,
121520_slidecontrol_syto_sypro_conA_3.czi,control,121520,discard,A,3,,,,,,,,,,,,,,,,,
121520_slidecontrol_syto_sypro_conA_4.czi,control,121520,discard,A,4,,,,,,,,,,,,,,,,,
121520_slidecontrol_syto_sypro_conA_5.czi,control,121520,discard,A,5,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_1.czi,4,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_2.czi,4,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_3.czi,4,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_4.czi,4,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_5.czi,4,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_6.czi,4,112119,sample,A,6,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_7.czi,4,112119,sample,A,7,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_1.czi,5,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_2.czi,5,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_3.czi,5,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_4.czi,5,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_5.czi,5,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_6.czi,5,112119,sample,A,6,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_7.czi,5,112119,sample,A,7,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_1.czi,1,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_2.czi,1,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_3.czi,1,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_4.czi,1,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_5.czi,1,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_6.czi,1,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_1.czi,2,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_2.czi,2,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_3.czi,2,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_4.czi,2,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_5.czi,2,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_6.czi,2,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_1.czi,3,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_2.czi,3,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_3.czi,3,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_4.czi,3,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_5.czi,3,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_6.czi,3,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_7.czi,3,121919,sample,A,7,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_1.czi,4,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_2.czi,4,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_3.czi,4,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_4.czi,4,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_5.czi,4,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_6.czi,4,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_7.czi,4,121919,sample,A,7,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_1.czi,5,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_2.czi,5,121919,sample,A,2,,,,,,,,,,,,,,,,,
